Hierarchy;Name (location);Samples;Calls;Time/Call;%Time
+-;Summary;1622;;;100.0
  +-;AES_128.c;451;;;27.80518
  | +-;AddRoundKey;3;22;13.636us;0.18495685
  | | +-;AddRoundKey (AES_128.c:101);2;;;0.12330456
  | | | +-;0x500005f0;2;;;0.12330456
  | | +-;AddRoundKey (AES_128.c:102);1;;;0.06165228
  | |   +-;0x500005b0;1;;;0.06165228
  | +-;ExpandKey;2;2;99.999us;0.12330456
  | | +-;ExpandKey (AES_128.c:83);1;;;0.06165228
  | | | +-;0x50000520;1;;;0.06165228
  | | +-;ExpandKey (AES_128.c:92);1;;;0.06165228
  | |   +-;0x50000500;1;;;0.06165228
  | +-;InvMixColumns;9;9;99.999us;0.55487055
  | | +-;InvMixColumns (AES_128.c:335);2;;;0.12330456
  | | | +-;0x50001680;1;;;0.06165228
  | | | +-;0x50001750;1;;;0.06165228
  | | +-;InvMixColumns (AES_128.c:336);3;;;0.18495685
  | | | +-;0x50001c60;1;;;0.06165228
  | | | +-;0x50001ed0;1;;;0.06165228
  | | | +-;0x50001f90;1;;;0.06165228
  | | +-;InvMixColumns (AES_128.c:337);1;;;0.06165228
  | | | +-;0x50002410;1;;;0.06165228
  | | +-;InvMixColumns (AES_128.c:338);3;;;0.18495685
  | |   +-;0x500026b0;2;;;0.12330456
  | |   +-;0x50002af0;1;;;0.06165228
  | +-;InvShiftRows;0;10;0ns;0.0
  | +-;InvSubBytes;1;10;10.0us;0.06165228
  | | +-;InvSubBytes (AES_128.c:282);1;;;0.06165228
  | |   +-;0x50001320;1;;;0.06165228
  | +-;MixColumns;3;9;33.333us;0.18495685
  | | +-;MixColumns (AES_128.c:260);2;;;0.12330456
  | | | +-;0x50000fd0;2;;;0.12330456
  | | +-;MixColumns (AES_128.c:262);1;;;0.06165228
  | |   +-;0x500010e0;1;;;0.06165228
  | +-;ShiftRows;0;10;0ns;0.0
  | +-;SubBytes;2;10;20.0us;0.12330456
  | | +-;SubBytes (AES_128.c:220);2;;;0.12330456
  | |   +-;0x50000bb0;1;;;0.06165228
  | |   +-;0x50000be0;1;;;0.06165228
  | +-;SubBytesCalculated;9;160;5.624us;0.55487055
  | | +-;SubBytesCalculated (AES_128.c:195);4;;;0.24660912
  | | | +-;0x50000a40;4;;;0.24660912
  | | +-;SubBytesCalculated (AES_128.c:201);1;;;0.06165228
  | | | +-;0x50000b50;1;;;0.06165228
  | | +-;SubBytesCalculated (AES_128.c:202);2;;;0.12330456
  | | | +-;0x50000b30;2;;;0.12330456
  | | +-;SubBytesCalculated (AES_128.c:204);1;;;0.06165228
  | | | +-;0x50000ab0;1;;;0.06165228
  | | +-;SubBytesCalculated (AES_128.c:205);1;;;0.06165228
  | |   +-;0x50000ae0;1;;;0.06165228
  | +-;division;127;775;16.387us;7.8298397
  | | +-;division (AES_128.c:132);12;;;0.7398274
  | | | +-;0x50000720;12;;;0.7398274
  | | +-;division (AES_128.c:134);1;;;0.06165228
  | | | +-;0x50000740;1;;;0.06165228
  | | +-;division (AES_128.c:135);2;;;0.12330456
  | | | +-;0x50000820;2;;;0.12330456
  | | +-;division (AES_128.c:136);37;;;2.2811344
  | | | +-;0x50000750;13;;;0.80147964
  | | | +-;0x500007b0;16;;;0.9864365
